participant_id,maxpay,maxfare_1,maxfare_2,maxfare_3,maxfare_4,maxfare_5,maxfare_7,conf_right,conf_safetech,conf_safe,supportl_dv_1,supportl_dv_2,supportl_dv_3,supportl_dv_4,supportl_dv_5,supportl_dv_6,acc_blame_programmer,acc_blame_company,acc_blame_govt,acc_blame_other,acc_blame_other_text,reg_focus_safety,reg_focus_innovation,reg_focus_other,reg_focus_other_text,company_purchase_rank_1,company_purchase_rank_2,company_purchase_rank_3,company_purchase_rank_4,company_purchase_rank_5,company_purchase_rank_6,company_purchase_rank_7,opinions,future,you_alone,friends_alone,family_alone,stranger_alone,you_pass,friends_pass,family_pass,stranger_pass,benefits_oe,risks_oe,media,drive,taxi,publictransit,bike,attn2,firstmover_1,firstmover_2,firstmover_3,firstmover_4,firstmover_5,firstmover_6r,race,edu,status,Employment.Status,Sex,Country.of.Birth,First.Language,Ethnicity..Simplified.,Current.Country.of.Residence,Student.Status,Nationality
54f8b0cdfdf99b5396a7d0a2,12000,10,5,6,20,10,10,Somewhat confident,Not very confident,Somewhat confident,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,32,36,32,0,,95,5,0,,3,2,1,4,7,5,6,The general public,Within 5-10 years,Moderately uncomfortable,Neither comfortable nor uncomfortable,Slightly uncomfortable,Neither comfortable nor uncomfortable,Moderately uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Neither comfortable nor uncomfortable,"convenience, traffic control, cost control","loss of privacy, loss of control, hackers with malice",Within the past week,A few times per week,A few times a year,A few times a year,A few times per week,A few times a year,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"White,Hispanic or Latinx",4 year degree,4th Rung,Full-Time,Female,Uruguay,English,White,United States,No,United States
55884984fdf99b4021921e67,15000,8,12,5,20,10,5,Not confident at all,Not very confident,Not very confident,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,71,28,1,0,,91,9,0,,3,1,4,2,7,5,6,Experts in technology,Within 10-20 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Slightly uncomfortable,Able to relax,Getting in accidents,Within the past year,A few times per week,A few times a year,Less than once a year,A few times a year,A few times a year,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,White,2 year degree,8th Rung,Part-Time,Female,United States,English,White,United States,No,United States
5589cf61fdf99b18bd86d076,0,20,0,20,20,0,0,Not confident at all,Not confident at all,Not confident at all,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,80,10,10,0,,95,5,0,,4,7,1,2,3,5,6,The government,Within 5-10 years,Extremely uncomfortable,Moderately uncomfortable,Extremely uncomfortable,Slightly uncomfortable,Extremely uncomfortable,Moderately uncomfortable,Extremely uncomfortable,Slightly uncomfortable,increased fuel economy,risk of accidents,Within the past few months,Daily,Never,Never,A few times per week,A few times a year,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,White,2 year degree,7th Rung,Full-Time,Female,United States,English,White,United States,No,United States
559d9916fdf99b1e2b2dc6b8,0,0,0,0,20,0,0,Not confident at all,Not confident at all,Not confident at all,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,50,0,0,50,"whatever other parties were involved, for example drivers of other vehicles involved in the accident",100,0,0,,1,4,3,2,5,6,7,Experts in ethics and social problems,Within 20-50 years,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,Extremely uncomfortable,There are none.,They are dangerous.,Within the past month,A few times per week,Never,A few times each month,Daily,A few times a year,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,White,4 year degree,9th Rung,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female,United States,English,White,United States,No,United States
559ef308fdf99b2616ff2a4f,8000,10,10,7,20,5,2,Not very confident,Somewhat confident,Somewhat confident,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,10,71,19,0,,100,0,0,,1,3,2,4,5,7,6,The government,Within 5-10 years,Slightly comfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,less driver error,hacking by nefarious people,Within the past month,A few times per week,A few times a year,A few times a year,A few times each month,A few times a year,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,White,Doctorate,5th Rung,Part-Time,Female,United States,English,White,United States,No,United States
55abb1a5fdf99b501fab62e3,20000,15,5,10,20,10,5,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,50,50,0,0,,80,20,0,,2,3,1,5,4,7,6,Experts in technology,Within 10-20 years,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,"safety, time, convenience","uncontrollable, anonymous, uncaring",Within the past week,A few times per week,Never,Never,Daily,A few times a year,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,White,Professional degree,5th Rung,Full-Time,Male,United States,English,White,United States,No,United States
55b9a9b0fdf99b6906d2aba4,30000,10,10,5,20,5,1,Very confident,Very confident,Very confident,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat disagree,5,90,5,0,,95,5,0,,1,2,3,7,6,4,5,The government,Within 5-10 years,Moderately comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,Moderately comfortable,"independence, economy, convenience","safety, privacy, hacking",Within the past month,A few times each month,Never,A few times a year,A few times each month,A few times a year,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,White,Some college,6th Rung,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male,United States,English,White,United States,No,United States
561d98e03d7fe8000b0f5e09,30000,17,11,6,20,3,5,Not very confident,Not very confident,Not very confident,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Agree,27,26,5,42,,88,12,0,,2,7,1,4,3,6,5,Experts in technology,Within 5-10 years,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,Moderately uncomfortable,"convenient, futuristic, good","overconfidence, programming,people",Within the past few months,A few times per week,Never,A few times a year,Never,A few times a year,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,White,Professional degree,3rd Rung,Other,Female,United States,English,White,United States,No,United States
567dd32b4f0ef30006dbb718,0,8,0,8,20,8,3,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,70,30,0,0,,90,10,0,,1,7,2,4,3,5,6,The government,Within 10-20 years,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly uncomfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,Slightly comfortable,More driver uniformity on the roads,Lack of knowing how the vehicle may react,Within the past few months,Daily,Never,Never,Daily,A few times a year,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Black or African American,Professional degree,7th Rung,Full-Time,Female,United States,English,Black,United States,No,United States
5687d85e369319000c269c55,50000,14,20,12,20,10,2,Very confident,Very confident,Very confident,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,41,40,19,0,,60,40,0,,2,7,1,4,5,6,3,The general public,Within 10-20 years,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Reduction of accidents,Lack of control,Within the past month,Daily,Once a month,Once a month,Once a month,A few times a year,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Asian,4 year degree,8th Rung,Full-Time,Male,United States,Chinese,Asian,United States,No,United States
